sha256	bytes	path
d05ba272232ac751ce3787265c5101c40771b0c595a836bd4d1b1533fabd7fe4	579	.github/workflows/c-cpp.yml
091595320e98f99d897a1fa13fc2cf416a85a10461652c7275a2fb39f8e55d92	398	AUTHORS
231f7edcc7352d7734a96eef0b8030f77982678c516876fcb81e25b32d68564c	18002	COPYING
d7bf9d064ac3e5840f9dd02422b7eeec4f1fd03f37fadbd043602be5e882304f	25283	COPYING.LIB
34dc321231c63a8e2705debeee7fb69a981e09c9112fd8a958ce132b079ce1fa	1103	CREDITS
68661ae5f35c366ead03c35dcc37ef10e39a3659875a8cd2ec9741a698d42635	3524	ChangeLog
3e8981e7098dca0aa7d0413441c9b45c76020513bfabb84c24c1eb36b28de542	995	Makefile.am
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	NEWS
913b0a3ba537696593a97c019be3c5b313313ff62c98b100e82bf687b99fa8f1	5690	README.md
049715aa27609cee0704728a4efa1fd1968744c8affcf36f08b458f968958730	880	autogen.sh
4a0439261f4363da651746509da0022572988eb0f505e659a75a33bac8b5eed0	15531	configure.ac
c9520e0c3bfb30dd294848a0d919ae513a7886cf203edcd5488e81476569854a	646	include/Makefile.am
3bf63672533ca7a539c50960f46f2fe9351894647e7b19313e5c4afda373281a	1500	include/acls.h
f42ac408b109c24e3097f2486762a6dbd59e0688432f9c64536aefa7d6d36a5b	16278	include/attrib.h
0fc84f2479de7a126b945508cc341ccc8f9f577afcba7951af1d501327f1615d	1742	include/attrlist.h
9157d14cba720abc2c74b4b9f58e73241b5115d3c6a3a25e0e82edc368223868	3088	include/bitmap.h
654ba4c17cd1b6155f3c1fe1ce4724df036162d7f8ff7bf18881f84bc1f2c550	1591	include/bootsect.h
494be03c8eecaef2c76b386ddfea84e1fedefe4989c2ca865e1b06579eb254c6	3357	include/cache.h
a6aca823a9bc93045b9bad477102ef16ecadca10bae82f8f974a258b57309241	1224	include/collate.h
2372fc1f9527e92809084471a75f0077b62f617827ca5d6255948e98f3a3d843	2451	include/compat.h
59fea75f8ec51a14421881573c0b46f0b2efd7a026bafa206d5075ac45b27d53	1471	include/compress.h
08f4b98896664e80d79cc85fd995a1370f55e853fa784bebda1bab87af13a0dd	1555	include/debug.h
eb74fd2b77b117adb0cc7a885de8dd88b2319ba2748a10ecb3850bab83c84da0	5551	include/device.h
c53498aded05c9830a025493a169743ffc326b99a914f7b5cc7b8e9ee43eb1c2	2462	include/device_io.h
42f9fb963844de22993b363265ef932a96dc5c74ea986f99a397e33e9d0d982b	4526	include/dir.h
ee709c93b923e787f472dfdb2199f5c7371030e2a59a10213a7f51705f2e9075	1220	include/ea.h
9d7294f90d3d5e4e93494c0ef3d00569d9785ace259cc7156f65e2ad867f2c80	1132	include/efs.h
3fcfc00939d6aead45458400f4a95a269ceeb86528e18aa6f6bbc1c2eec84407	10860	include/endians.h
4736e6b6aafd485e56da5e4ef64ec785113664d13030eb097418a4adece7e861	1972	include/fsck.h
045b1aebbef45a1f9434bb5b4b71ce3ce9c2ebb0600d6994e601dd64bf4e4da6	7009	include/index.h
0316a2e8aa1dd4f31832122d104912df958690a03a396151be17bf66addadbbe	8553	include/inode.h
f3507b5013bea37c7496c0631ca0c8572608a1b0c6ffef83e5ae1a4c00f23ecb	112735	include/layout.h
c10e5b0c3260c3c79408a81493f4c697eda5c614c66e71816975ed3d224a2d52	1879	include/lcnalloc.h
941cf1907146a8b145a6b9a7f62d7a915efd5d0a010866b4adc284b80188198c	496	include/lib_utils.h
86f680bc1dcd332c354fc0fa9c81b74f9f3121240adb44f0776be174f9ce8bd1	18359	include/logfile.h
2ec21a42a7d7ccbedfa943e387dbc4fb40c742ebc4c1f5b3809671c18f91c98e	6127	include/logging.h
99243cb420f3724c72518ffc72a55d4bcd1c83ede7e10b2d08492b1f2374e9da	4839	include/mft.h
a1a1f4d900153a4c863898776049a577a4da95996867dee0f114e8c5bcb27bb2	1134	include/misc.h
af36d413c4a1756e13a1f735d71b14987ce9241c29a402e060cc164f9f3194ff	1402	include/mst.h
2ebb49dceeefeb3cfb4a03bb203db2ce97287abe447734019a1fd40109a71f5b	3889	include/ntfstime.h
ad08858354193f504618c039e33dea54c52c668833f45577488a8cc19da0033a	1177	include/object_id.h
2a4eb0845ce2c053c8c65c8f0815ef10e2b396038764254cf5c7d7d2808d08f6	5393	include/param.h
ce73babbf859875d46a244d0951a07c5b953ce8de87f340a38000f2c0121bac4	3983	include/problem.h
1867a8faf18c0eff079342bd1b380ca3f526aaad37fcf9c6e84631fa8d960da9	459	include/realpath.h
e8e24680b8ba2059f345bc7cabaa3eddca662204e80527d85c8c9b4650f6f97f	1865	include/reparse.h
67a11925f07135d386e31169dca20cd61d1fa3ee85fa0769e82a0a144fe24c9a	3806	include/runlist.h
0bfae1b5adc7ae352d55ff4668aad2faf4e9494777c1058d44c4fbec8b4b8363	4178	include/security.h
1d465b8ee405633d3152de5009d0f3d8def22f9daab144d00ec17470e1d52b83	2913	include/support.h
2d9dfb9d217ac4fe475973c225b4b7414c56c527c89c4fd47c49f7d534c1c482	3272	include/types.h
0ec41853ddda9873623aa5720b894b0d32083026a721e1234c47fdf4e12225c1	5064	include/unistr.h
9f64e965c56640e672ee30f917b101bb0329f38ab63bcc4f2cbba278bbbcd408	16757	include/volume.h
